Year,Month,Country,all_Northing,all_Easting,possible_treatment_Location,T_area (ha),Lat,Lon
2021,Jul,MOROCCO,['3154N'],['0425W'],Errachidia,30,31.54,-04.25
2021,Jul,SUDAN,"['1832N', '1423N', '1641N', '1527N', '1820N']","['3148E', '2906E', '3322E', '3623E', '3621E']",Haiya,525,18.20,36.21
2021,Jul,ETHIOPIA,"['1045N', '1105N']","['4234E', '3944E']",Kombolcha,3788,11.05,39.44
2021,Jul,DJIBOUTI,"['1100N', '1109N']","['4206E', '4242E']",Ali Sabieh,55,11.09,42.42
2021,Jul,SOMALIA,"['0931N', '1028N', '0956N', '0931N', '1023N']","['4402E', '4502E', '4313E', '4533E', '4425E']",Bulhar,27162,10.23,44.25
2021,Jul,EGYPT,"['2247N', '2224N']","['3126E', '3624E']",Abu Ramad,50,22.24,36.24
2021,Mar,SUDAN,"['1827N', '1906N', '1745N', '2002N', '1641N', '1803N']","['3741E', '3719E', '3820E', '3551E', '3322E', '3057E']",Ed Debba,7437,18.03,30.57
2021,Mar,ERITREA,"['1723N', '1548N', '1357N']","['3833E', '3918E', '4138E']",Idd,100,13.57,41.38
2021,Mar,SOMALIA,"['1040N', '1017N', '0956N']","['4720E', '5014E', '4313E']",Boroma,12396,09.56,43.13
2021,Mar,TANZANIA,"['0322S', '0244N']","['3642E', '3642E']",Longido,236,02.44,36.42
2021,Mar,SAUDI ARABIA,"['2215N', '2615N', '2731N', '2439N', '2733N', '2621N']","['3906E', '3627E', '4141E', '4642E', '4742E', '4358E']",Gassim,50120,26.21,43.58
2021,Mar,IRAN,"['2854N', '3224N']","['5050E', '4824E']",Dezful,1521,32.24,48.24
2021,Nov,EGYPT,['2308N'],['3535E'],Shalatyn,100,23.08,35.35
2021,Nov,ERITREA,"['1454N', '1616N']","['4018E', '3911E']",Cuba,97,16.16,39.11
2021,Nov,ETHIOPIA,"['0813N', '0550N', '0445N', '0403N', '0504N']","['4333E', '4205E', '3849E', '3819E', '3723E']",Teltele,2126,05.04,37.23
2021,Nov,SOMALIA,"['0930N', '0956N', '0956N', '0646N']","['4905E', '4313E', '4511E', '4725E']",Galkayo,18405,06.46,47.25
2021,Nov,SUDAN,"['1803N', '1801N', '2009N']","['3057E', '3400E', '3706E']",E,17735,20.09,37.06
2019,May,ALGERIA,"['2643N', '2712N', '2630N', '3135N', '2753N', '2250N']","['0010E', '0229E', '0825E', '0217W', '0017W', '0528E']",Tamanrasset,16,22.50,05.28
2019,May,EGYPT,"['2224N', '2219N', '2247N', '2317N', '2448N', '2405N']","['3624E', '3138E', '3126E', '3252E', '3035E', '3256E']",Aswan,401,24.05,32.56
